Country,year,nuclear_weapons
Pakistan,1955,NA
Pakistan,1956,NA
Pakistan,1957,NA
Pakistan,1958,NA
Pakistan,1959,NA
Pakistan,1960,NA
Pakistan,1961,NA
Pakistan,1962,NA
Pakistan,1963,NA
Pakistan,1964,NA
Pakistan,1965,NA
Pakistan,1966,NA
Pakistan,1967,NA
Pakistan,1968,NA
Pakistan,1969,NA
Pakistan,1970,NA
Pakistan,1971,NA
Pakistan,1972,NA
Pakistan,1973,NA
Pakistan,1974,NA
Pakistan,1975,NA
Pakistan,1976,NA
Pakistan,1977,NA
Pakistan,1978,NA
Pakistan,1979,NA
Pakistan,1980,NA
Pakistan,1981,NA
Pakistan,1982,NA
Pakistan,1983,NA
Pakistan,1984,NA
Pakistan,1985,NA
Pakistan,1986,NA
Pakistan,1987,NA
Pakistan,1988,NA
Pakistan,1989,NA
Pakistan,1990,NA
Pakistan,1991,NA
Pakistan,1992,NA
Pakistan,1993,NA
Pakistan,1994,NA
Pakistan,1995,NA
Pakistan,1996,NA
Pakistan,1997,NA
Pakistan,1998,2
Pakistan,1999,8
Pakistan,2000,14
Pakistan,2001,20
Pakistan,2002,26
Pakistan,2003,32
Pakistan,2004,38
Pakistan,2005,44
Pakistan,2006,50
Pakistan,2007,60
Pakistan,2008,70
Pakistan,2009,80
Pakistan,2010,90
Pakistan,2011,100
Pakistan,2012,110
Pakistan,2013,115
Pakistan,2014,120
Pakistan,2015,125
Pakistan,2016,130
Pakistan,2017,140
Pakistan,2018,150
Pakistan,2019,150
Pakistan,2020,160
Pakistan,2021,165
Pakistan,2022,165
India,1945,NA
India,1946,NA
India,1947,NA
India,1948,NA
India,1949,NA
India,1950,NA
India,1951,NA
India,1952,NA
India,1953,NA
India,1954,NA
India,1955,NA
India,1956,NA
India,1957,NA
India,1958,NA
India,1959,NA
India,1960,NA
India,1961,NA
India,1962,NA
India,1963,NA
India,1964,NA
India,1965,NA
India,1966,NA
India,1967,NA
India,1968,NA
India,1969,NA
India,1970,NA
India,1971,NA
India,1972,NA
India,1973,NA
India,1974,NA
India,1975,NA
India,1976,NA
India,1977,NA
India,1978,NA
India,1979,NA
India,1980,NA
India,1981,NA
India,1982,NA
India,1983,NA
India,1984,NA
India,1985,NA
India,1986,NA
India,1987,NA
India,1988,NA
India,1989,NA
India,1990,NA
India,1991,NA
India,1992,NA
India,1993,NA
India,1994,NA
India,1995,NA
India,1996,NA
India,1997,NA
India,1998,3
India,1999,8
India,2000,13
India,2001,18
India,2002,23
India,2003,28
India,2004,33
India,2005,38
India,2006,43
India,2007,50
India,2008,60
India,2009,70
India,2010,80
India,2011,90
India,2012,100
India,2013,110
India,2014,100
India,2015,110
India,2016,120
India,2017,130
India,2018,140
India,2019,140
India,2020,150
India,2021,160
India,2022,160
Israel,1945,NA
Israel,1946,NA
Israel,1947,NA
Israel,1948,NA
Israel,1949,NA
Israel,1950,NA
Israel,1951,NA
Israel,1952,NA
Israel,1953,NA
Israel,1954,NA
Israel,1955,NA
Israel,1956,NA
Israel,1957,NA
Israel,1958,NA
Israel,1959,NA
Israel,1960,NA
Israel,1961,NA
Israel,1962,NA
Israel,1963,NA
Israel,1964,NA
Israel,1965,NA
Israel,1966,NA
Israel,1967,2
Israel,1968,4
Israel,1969,6
Israel,1970,8
Israel,1971,11
Israel,1972,13
Israel,1973,15
Israel,1974,17
Israel,1975,20
Israel,1976,22
Israel,1977,24
Israel,1978,26
Israel,1979,29
Israel,1980,31
Israel,1981,33
Israel,1982,35
Israel,1983,38
Israel,1984,40
Israel,1985,42
Israel,1986,44
Israel,1987,47
Israel,1988,49
Israel,1989,51
Israel,1990,53
Israel,1991,56
Israel,1992,58
Israel,1993,60
Israel,1994,62
Israel,1995,63
Israel,1996,64
Israel,1997,66
Israel,1998,68
Israel,1999,70
Israel,2000,72
Israel,2001,74
Israel,2002,76
Israel,2003,78
Israel,2004,80
Israel,2005,80
Israel,2006,80
Israel,2007,80
Israel,2008,80
Israel,2009,80
Israel,2010,80
Israel,2011,80
Israel,2012,80
Israel,2013,80
Israel,2014,80
Israel,2015,80
Israel,2016,80
Israel,2017,80
Israel,2018,80
Israel,2019,80
Israel,2020,90
Israel,2021,90
Israel,2022,90
North  Korea,1945,NA
North  Korea,1946,NA
North  Korea,1947,NA
North  Korea,1948,NA
North  Korea,1949,NA
North  Korea,1950,NA
North  Korea,1951,NA
North  Korea,1952,NA
North  Korea,1953,NA
North  Korea,1954,NA
North  Korea,1955,NA
North  Korea,1956,NA
North  Korea,1957,NA
North  Korea,1958,NA
North  Korea,1959,NA
North  Korea,1960,NA
North  Korea,1961,NA
North  Korea,1962,NA
North  Korea,1963,NA
North  Korea,1964,NA
North  Korea,1965,NA
North  Korea,1966,NA
North  Korea,1967,NA
North  Korea,1968,NA
North  Korea,1969,NA
North  Korea,1970,NA
North  Korea,1971,NA
North  Korea,1972,NA
North  Korea,1973,NA
North  Korea,1974,NA
North  Korea,1975,NA
North  Korea,1976,NA
North  Korea,1977,NA
North  Korea,1978,NA
North  Korea,1979,NA
North  Korea,1980,NA
North  Korea,1981,NA
North  Korea,1982,NA
North  Korea,1983,NA
North  Korea,1984,NA
North  Korea,1985,NA
North  Korea,1986,NA
North  Korea,1987,NA
North  Korea,1988,NA
North  Korea,1989,NA
North  Korea,1990,NA
North  Korea,1991,NA
North  Korea,1992,NA
North  Korea,1993,NA
North  Korea,1994,NA
North  Korea,1995,NA
North  Korea,1996,NA
North  Korea,1997,NA
North  Korea,1998,NA
North  Korea,1999,NA
North  Korea,2000,NA
North  Korea,2001,NA
North  Korea,2002,NA
North  Korea,2003,NA
North  Korea,2004,NA
North  Korea,2005,NA
North  Korea,2006,NA
North  Korea,2007,NA
North  Korea,2008,NA
North  Korea,2009,NA
North  Korea,2010,NA
North  Korea,2011,NA
North  Korea,2012,NA
North  Korea,2013,NA
North  Korea,2014,NA
North  Korea,2015,5
North  Korea,2016,10
North  Korea,2017,15
North  Korea,2018,20
North  Korea,2019,25
North  Korea,2020,35
North  Korea,2021,20
North  Korea,2022,20
South Africa,1945,NA
South Africa,1946,NA
South Africa,1947,NA
South Africa,1948,NA
South Africa,1949,NA
South Africa,1950,NA
South Africa,1951,NA
South Africa,1952,NA
South Africa,1953,NA
South Africa,1954,NA
South Africa,1955,NA
South Africa,1956,NA
South Africa,1957,NA
South Africa,1958,NA
South Africa,1959,NA
South Africa,1960,NA
South Africa,1961,NA
South Africa,1962,NA
South Africa,1963,NA
South Africa,1964,NA
South Africa,1965,NA
South Africa,1966,NA
South Africa,1967,NA
South Africa,1968,NA
South Africa,1969,NA
South Africa,1970,NA
South Africa,1971,NA
South Africa,1972,NA
South Africa,1973,NA
South Africa,1974,NA
South Africa,1975,NA
South Africa,1976,NA
South Africa,1977,NA
South Africa,1978,NA
South Africa,1979,NA
South Africa,1980,NA
South Africa,1981,NA
South Africa,1982,3
South Africa,1983,3
South Africa,1984,3
South Africa,1985,3
South Africa,1986,3
South Africa,1987,4
South Africa,1988,5
South Africa,1989,6
South Africa,1990,0
South Africa,1991,0
South Africa,1992,0
South Africa,1993,0
South Africa,1994,0
South Africa,1995,0
South Africa,1996,0
South Africa,1997,0
South Africa,1998,0
South Africa,1999,0
South Africa,2000,0
South Africa,2001,0
South Africa,2002,0
South Africa,2003,0
South Africa,2004,0
South Africa,2005,0
South Africa,2006,0
South Africa,2007,0
South Africa,2008,0
South Africa,2009,0
South Africa,2010,0
South Africa,2011,0
South Africa,2012,0
South Africa,2013,0
South Africa,2014,0
South Africa,2015,0
South Africa,2016,0
South Africa,2017,0
South Africa,2018,0
South Africa,2019,0
South Africa,2020,0
South Africa,2021,0
South Africa,2022,0
